name,year,number,condition,date,bids,price
Roberto Clemente,1957,76,LOW GRADE (crease),2020-12-25,38,82.76
Roberto Clemente,1957,76,VG-VGEX,2020-12-16,30,149.59
Roberto Clemente,1957,76,LOW GRADE (crease),2020-12-11,13,38.02
Roberto Clemente,1957,76,LOW GRADE (crease),2020-12-11,14,46.99
Roberto Clemente,1957,76,LOW GRADE,2020-12-11,18,61
Roberto Clemente,1957,76,VG-VGEX,2020-12-08,24,92
Roberto Clemente,1957,76,VG-VGEX (wrinkle) (trimmed),2020-12-04,24,76
Roberto Clemente,1957,76,VG-VGEX (crease),2020-12-04,21,75.5
Roberto Clemente,1957,76,VG-VGEX,2020-11-29,21,69.5
Roberto Clemente,1957,76,LOW GRADE (crease),2020-11-20,7,39.66
Roberto Clemente,1957,76,NR-MINT,2020-11-19,29,298
Roberto Clemente,1957,76,LOW GRADE (crease) (paper loss),2020-11-13,10,36
Roberto Clemente,1957,76,LOW GRADE (crease),2020-11-13,38,60.99
Roberto Clemente,1957,76,EX-EXMINT,2020-11-01,31,171
Roberto Clemente,1957,76,LOW GRADE (crease),2020-10-30,13,51
Roberto Clemente,1957,76,LOW GRADE (crease),2020-10-09,16,90.99
Warren Spahn,1957,90,VG-VGEX,2020-12-20,11,21.55
Warren Spahn,1957,90,VG-VGEX,2020-12-16,20,21.05
Warren Spahn,1957,90,EX-EXMINT,2020-12-13,17,27.77
Warren Spahn,1957,90,NM-MT OR BETTER,2020-12-08,29,282
Warren Spahn,1957,90,VG-VGEX (crease),2020-12-04,9,15.5
Warren Spahn,1957,90,LOW GRADE (crease),2020-12-04,8,8.5
Warren Spahn,1957,90,VG-VGEX,2020-11-29,12,31
Warren Spahn,1957,90,LOW GRADE (crease),2020-11-20,11,16.5
Warren Spahn,1957,90,EX-EXMINT,2020-11-19,29,65.81
Warren Spahn,1957,90,EX-EXMINT,2020-11-15,36,26
Warren Spahn,1957,90,LOW GRADE,2020-11-13,13,16.5
Warren Spahn,1957,90,VG-VGEX,2020-11-01,9,24.02
Warren Spahn,1957,90,LOW GRADE,2020-10-16,13,31
Mickey Mantle,1957,95,LOW GRADE (filler),2021-01-02,30,180.51
Mickey Mantle,1957,95,LOW GRADE (filler),2020-12-25,30,221.5
Mickey Mantle,1957,95,LOW GRADE (crease),2020-12-04,21,165.38
Mickey Mantle,1957,95,LOW GRADE (crease),2020-12-04,39,173.77
Mickey Mantle,1957,95,LOW GRADE (crease),2020-11-27,16,176.5
Mickey Mantle,1957,95,LOW GRADE (crease) (marked),2020-11-06,14,141
Mickey Mantle,1957,95,LOW GRADE (crease) (marked),2020-11-06,31,180.27
Al Kaline,1957,125,LOW GRADE (crease),2021-01-02,9,18.5
Al Kaline,1957,125,VG-VGEX,2020-12-16,18,34
Al Kaline,1957,125,VG-VGEX,2020-12-13,14,49
Al Kaline,1957,125,LOW GRADE (crease),2020-12-11,5,15.38
Al Kaline,1957,125,VG-VGEX,2020-12-08,13,22.83
Al Kaline,1957,125,LOW GRADE (crease),2020-12-04,8,26
Al Kaline,1957,125,EX-EXMINT,2020-12-03,14,60
Al Kaline,1957,125,EX-EXMINT,2020-11-29,28,107.5
Al Kaline,1957,125,LOW GRADE (crease),2020-11-27,11,16.02
Al Kaline,1957,125,VG-VGEX,2020-11-19,9,26
Al Kaline,1957,125,EX-EXMINT,2020-11-15,4,23.5
Al Kaline,1957,125,LOW GRADE (crease),2020-11-13,9,26
Al Kaline,1957,125,LOW GRADE (crease),2020-11-13,7,15.34
Al Kaline,1957,125,VG-VGEX,2020-11-03,11,33.78
Al Kaline,1957,125,VG-VGEX,2020-11-01,13,26.78
Al Kaline,1957,125,LOW GRADE (crease),2020-10-23,11,20
Al Kaline,1957,125,EX-EXMINT,2020-10-18,13,46.77
Sandy Koufax,1957,302,EX-EXMINT,2021-01-04,46,
Sandy Koufax,1957,302,VG-VGEX (crease),2020-12-11,21,105.07
Sandy Koufax,1957,302,VG-VGEX,2020-11-29,22,124
Sandy Koufax,1957,302,VG-VGEX,2020-10-15,13,99.94
Brooks Robinson,1957,328,LOW GRADE (crease),2021-01-02,26,326
Brooks Robinson,1957,328,EX-EXMINT,2020-12-08,27,465
Brooks Robinson,1957,328,VG-VGEX (crease),2020-11-06,41,306.9
Ted Williams,1958,1,LOW GRADE (filler),2021-01-02,17,47
Ted Williams,1958,1,LOW GRADE (crease),2021-01-02,13,73.72
Ted Williams,1958,1,VG-VGEX (crease),2020-12-25,18,66
Ted Williams,1958,1,VG-VGEX,2020-12-13,38,326
Ted Williams,1958,1,LOW GRADE (crease),2020-12-11,21,38
Ted Williams,1958,1,LOW GRADE (filler),2020-12-11,24,41.09
Ted Williams,1958,1,LOW GRADE (crease),2020-11-27,14,53
Ted Williams,1958,1,LOW GRADE,2020-11-27,14,61
Ted Williams,1958,1,LOW GRADE (crease),2020-11-20,13,52
Ted Williams,1958,1,VG-VGEX,2020-11-19,27,100.5
