title,date,bids,price
1978 Topps Set Break #670 Jim Rice NR-MINT *GMCARDS*,2020-02-25,6,9.5
1978 Topps Set Break #670 Jim Rice VG-VGEX (crease) *GMCARDS*,2020-02-06,,0.79
1978 Topps Set Break #670 Jim Rice EX-EXMINT *GMCARDS*,2020-02-05,2,1.25
1978 Topps Set Break #670 Jim Rice VG-VGEX (wrinkle) *GMCARDS*,2020-01-30,,0.79
1978 Topps Set Break #686 Gaylord Perry NR-MINT *GMCARDS*,2020-04-11,4,2.52
1978 Topps Set Break #686 Gaylord Perry EX-EXMINT *GMCARDS*,2020-04-03,4,2.75
1978 Topps Set Break #686 Gaylord Perry NM-MT OR BETTER *GMCARDS*,2020-04-01,3,3.1
1978 Topps Set Break #686 Gaylord Perry NM-MT OR BETTER *GMCARDS*,2020-03-28,4,2.93
1978 Topps Set Break #686 Gaylord Perry EX-EXMINT *GMCARDS*,2020-03-24,,0.79
1978 Topps Set Break #686 Gaylord Perry NR-MINT *GMCARDS*,2020-03-23,5,2.26
1978 Topps Set Break #686 Gaylord Perry NM-MT OR BETTER *GMCARDS*,2020-03-18,3,4.25
1978 Topps Set Break #686 Gaylord Perry EX-EXMINT *GMCARDS*,2020-03-09,2,1.25
1978 Topps Set Break #686 Gaylord Perry NR-MINT *GMCARDS*,2020-03-03,2,2.25
1978 Topps Set Break #686 Gaylord Perry VG-VGEX *GMCARDS*,2020-02-27,2,1.36
1978 Topps Set Break #686 Gaylord Perry NR-MINT *GMCARDS*,2020-02-25,3,1.26
1978 Topps Set Break #686 Gaylord Perry EX-EXMINT *GMCARDS*,2020-02-11,3,1.36
1978 Topps Set Break #686 Gaylord Perry NR-MINT *GMCARDS*,2020-02-05,5,5.25
1978 Topps Set Break #686 Gaylord Perry NR-MINT *GMCARDS*,2020-01-29,8,3
1978 Topps Set Break #720 Fergie Jenkins EX-EXMINT *GMCARDS*,2020-04-11,7,4.34
1978 Topps Set Break #720 Fergie Jenkins VG-VGEX (wrinkle) *GMCARDS*,2020-04-09,3,4
1978 Topps Set Break #720 Fergie Jenkins VG-VGEX (wrinkle) *GMCARDS*,2020-04-09,2,0.9
1978 Topps Set Break #720 Fergie Jenkins VG-VGEX *GMCARDS*,2020-04-07,3,2
1978 Topps Set Break #720 Fergie Jenkins VG-VGEX *GMCARDS*,2020-04-03,7,5.05
1978 Topps Set Break #720 Fergie Jenkins VG-VGEX (crease) *GMCARDS*,2020-04-02,2,0.85
1978 Topps Set Break #720 Fergie Jenkins VG-VGEX *GMCARDS*,2020-04-02,2,0.85
1978 Topps Set Break #720 Fergie Jenkins VG-VGEX *GMCARDS*,2020-04-02,,0.79
1978 Topps Set Break #720 Fergie Jenkins VG-VGEX *GMCARDS*,2020-04-02,2,0.85
1978 Topps Set Break #720 Fergie Jenkins VG-VGEX *GMCARDS*,2020-04-01,2,0.85
1978 Topps Set Break #720 Fergie Jenkins EX-EXMINT *GMCARDS*,2020-03-28,3,2.25
1978 Topps Set Break #720 Fergie Jenkins VG-VGEX *GMCARDS*,2020-03-26,,0.79
1978 Topps Set Break #720 Fergie Jenkins EX-EXMINT *GMCARDS*,2020-03-24,,0.79
1978 Topps Set Break #720 Fergie Jenkins EX-EXMINT *GMCARDS*,2020-03-23,2,1.1
1978 Topps Set Break #720 Fergie Jenkins NM-MT OR BETTER *GMCARDS*,2020-03-18,12,5.54
1978 Topps Set Break #720 Fergie Jenkins NM-MT OR BETTER *GMCARDS*,2020-03-18,2,2.34
1978 Topps Set Break #720 Fergie Jenkins NR-MINT *GMCARDS*,2020-03-11,6,4.25
1978 Topps Set Break #720 Fergie Jenkins NR-MINT *GMCARDS*,2020-03-09,2,1.25
1978 Topps Set Break #720 Fergie Jenkins NM-MT OR BETTER *GMCARDS*,2020-03-03,9,5.5
1978 Topps Set Break #720 Fergie Jenkins NR-MINT *GMCARDS*,2020-02-25,2,0.95
1978 Topps Set Break #720 Fergie Jenkins NR-MINT *GMCARDS*,2020-02-11,4,3
1978 Topps Set Break #720 Fergie Jenkins EX-EXMINT *GMCARDS*,2020-02-05,3,1
1979 Topps Set Break #321 Gaylord Perry EX-EXMINT *GMCARDS*,2020-04-11,2,1.04
1979 Topps Set Break #321 Gaylord Perry EX-EXMINT *GMCARDS*,2020-04-07,3,1.5
1979 Topps Set Break #321 Gaylord Perry EX-EXMINT *GMCARDS*,2020-04-03,3,2.13
1979 Topps Set Break #321 Gaylord Perry EX-EXMINT *GMCARDS*,2020-04-01,2,0.93
1979 Topps Set Break #321 Gaylord Perry NM-MT OR BETTER *GMCARDS*,2020-03-28,7,6.55
