title,date,bids,price
1957 Topps Set Break # 1 Ted Williams LOW GRADE (crease) *GMCARDS*,2020-10-16,14,32
1957 Topps Set Break # 1 Ted Williams LOW GRADE (filler) *GMCARDS*,2020-10-09,36,156.5
1957 Topps Set Break # 1 Ted Williams LOW GRADE (crease) *GMCARDS*,2020-09-25,23,68
1957 Topps Set Break # 1 Ted Williams VG-VGEX *GMCARDS*,2020-09-22,21,138.5
1957 Topps Set Break # 1 Ted Williams VG-VGEX *GMCARDS*,2020-09-20,24,194.5
1957 Topps Set Break # 1 Ted Williams VG-VGEX (crease) *GMCARDS*,2020-09-18,20,127.51
1957 Topps Set Break # 1 Ted Williams LOW GRADE (crease) *GMCARDS*,2020-09-18,8,47.07
1957 Topps Set Break # 1 Ted Williams LOW GRADE (crease) *GMCARDS*,2020-09-11,16,71
1957 Topps Set Break # 1 Ted Williams LOW GRADE (crease) *GMCARDS*,2020-09-11,15,50
1957 Topps Set Break # 1 Ted Williams VG-VGEX *GMCARDS*,2020-09-10,22,227.5
1957 Topps Set Break # 1 Ted Williams VG-VGEX *GMCARDS*,2020-09-09,21,123
