year,team,wins,losses
1982,New York Yankees,79,83
1982,Cleveland Indians,78,84
1982,Toronto Blue Jays,78,84
1982,California Angels,93,69
1982,Kansas City Royals,90,72
1982,Chicago White Sox,87,75
1982,Seattle Mariners,76,86
1982,Oakland Athletics,68,94
1982,Texas Rangers,64,98
1982,Minnesota Twins,60,102
1982,St. Louis Cardinals,92,70
1982,Philadelphia Phillies,89,73
1982,Montreal Expos,86,76
1982,Pittsburgh Pirates,84,78
1982,Chicago Cubs,73,89
1982,New York Mets,65,97
1982,Atlanta Braves,89,73
1982,Los Angeles Dodgers,88,74
1982,San Francisco Giants,87,75
1982,San Diego Padres,81,81
1982,Houston Astros,77,85
1982,Cincinnati Reds,61,101
1983,Baltimore Orioles,98,64
1983,Detroit Tigers,92,70
1983,New York Yankees,91,71
1983,Toronto Blue Jays,89,73
1983,Milwaukee Brewers,87,75
1983,Boston Red Sox,78,84
1983,Cleveland Indians,70,92
1983,Chicago White Sox,99,63
1983,Kansas City Royals,79,83
1983,Texas Rangers,77,85
1983,Oakland Athletics,74,88
1983,California Angels,70,92
1983,Minnesota Twins,70,92
1983,Seattle Mariners,60,102
1983,Philadelphia Phillies,90,72
1983,Pittsburgh Pirates,84,78
1983,Montreal Expos,82,80
1983,St. Louis Cardinals,79,83
1983,Chicago Cubs,71,91
1983,New York Mets,68,94
1983,Los Angeles Dodgers,91,71
1983,Atlanta Braves,88,74
1983,Houston Astros,85,77
1983,San Diego Padres,81,81
1983,San Francisco Giants,79,83
1983,Cincinnati Reds,74,88
1984,Detroit Tigers,104,58
1984,Toronto Blue Jays,89,73
1984,New York Yankees,87,75
1984,Boston Red Sox,86,76
1984,Baltimore Orioles,85,77
1984,Cleveland Indians,75,87
1984,Milwaukee Brewers,67,94
1984,Kansas City Royals,84,78
1984,California Angels,81,81
1984,Minnesota Twins,81,81
1984,Oakland Athletics,77,85
1984,Chicago White Sox,74,88
1984,Seattle Mariners,74,88
1984,Texas Rangers,69,92
1984,Chicago Cubs,96,65
1984,New York Mets,90,72
1984,St. Louis Cardinals,84,78
1984,Philadelphia Phillies,81,81
1984,Montreal Expos,78,83
1984,Pittsburgh Pirates,75,87
1984,San Diego Padres,92,70
1984,Atlanta Braves,80,82
1984,Houston Astros,80,82
1984,Los Angeles Dodgers,79,83
1984,Cincinnati Reds,70,92
1984,San Francisco Giants,66,96
1985,Toronto Blue Jays,99,62
1985,New York Yankees,97,64
1985,Detroit Tigers,84,77
1985,Baltimore Orioles,83,78
1985,Boston Red Sox,81,81
1985,Milwaukee Brewers,71,90
1985,Cleveland Indians,60,102
1985,Kansas City Royals,91,71
1985,California Angels,90,72
1985,Chicago White Sox,85,77
1985,Minnesota Twins,77,85
1985,Oakland Athletics,77,85
1985,Seattle Mariners,74,88
1985,Texas Rangers,62,99
1985,St. Louis Cardinals,101,61
1985,New York Mets,98,64
1985,Montreal Expos,84,77
1985,Chicago Cubs,77,84
1985,Philadelphia Phillies,75,87
1985,Pittsburgh Pirates,57,104
1985,Los Angeles Dodgers,95,67
1985,Cincinnati Reds,89,72
1985,Houston Astros,83,79
1985,San Diego Padres,83,79
1985,Atlanta Braves,66,96
1985,San Francisco Giants,62,100
1986,Boston Red Sox,95,66
1986,New York Yankees,90,72
1986,Detroit Tigers,87,75
1986,Toronto Blue Jays,86,76
1986,Cleveland Indians,84,78
1986,Milwaukee Brewers,77,84
1986,Baltimore Orioles,73,89
1986,California Angels,92,70
1986,Texas Rangers,87,75
1986,Kansas City Royals,76,86
1986,Oakland Athletics,76,86
1986,Chicago White Sox,72,90
1986,Minnesota Twins,71,91
1986,Seattle Mariners,67,95
1986,New York Mets,108,54
1986,Philadelphia Phillies,86,75
1986,St. Louis Cardinals,79,82
1986,Montreal Expos,78,83
1986,Chicago Cubs,70,90
1986,Pittsburgh Pirates,64,98
1986,Houston Astros,96,66
1986,Cincinnati Reds,86,76
1986,San Francisco Giants,83,79
1986,San Diego Padres,74,88
1986,Los Angeles Dodgers,73,89
1986,Atlanta Braves,72,89
1987,Detroit Tigers,98,64
1987,Toronto Blue Jays,96,66
1987,Milwaukee Brewers,91,71
1987,New York Yankees,89,73
1987,Boston Red Sox,78,84
1987,Baltimore Orioles,67,95
1987,Cleveland Indians,61,101
1987,Minnesota Twins,85,77
1987,Kansas City Royals,83,79
1987,Oakland Athletics,81,81
1987,Seattle Mariners,78,84
1987,Chicago White Sox,77,85
1987,California Angels,75,87
1987,Texas Rangers,75,87
1987,St. Louis Cardinals,95,67
1987,New York Mets,92,70
1987,Montreal Expos,91,71
1987,Philadelphia Phillies,80,82
1987,Pittsburgh Pirates,80,82
1987,Chicago Cubs,76,85
1987,San Francisco Giants,90,72
1987,Cincinnati Reds,84,78
1987,Houston Astros,76,86
1987,Los Angeles Dodgers,73,89
1987,Atlanta Braves,69,92
1987,San Diego Padres,65,97
1988,Boston Red Sox,89,73
1988,Detroit Tigers,88,74
1988,Milwaukee Brewers,87,75
1988,Toronto Blue Jays,87,75
1988,New York Yankees,85,76
1988,Cleveland Indians,78,84
1988,Baltimore Orioles,54,107
1988,Oakland Athletics,104,58
1988,Minnesota Twins,91,71
1988,Kansas City Royals,84,77
1988,California Angels,75,87
1988,Chicago White Sox,71,90
1988,Texas Rangers,70,91
1988,Seattle Mariners,68,93
1988,New York Mets,100,60
1988,Pittsburgh Pirates,85,75
1988,Montreal Expos,81,81
1988,Chicago Cubs,77,85
1988,St. Louis Cardinals,76,86
1988,Philadelphia Phillies,65,96
1988,Los Angeles Dodgers,94,67
1988,Cincinnati Reds,87,74
1988,San Diego Padres,83,78
1988,San Francisco Giants,83,79
1988,Houston Astros,82,80
1988,Atlanta Braves,54,106
1989,Toronto Blue Jays,89,73
1989,Baltimore Orioles,87,75
1989,Boston Red Sox,83,79
1989,Milwaukee Brewers,81,81
1989,New York Yankees,74,87
1989,Cleveland Indians,73,89
1989,Detroit Tigers,59,103
1989,Oakland Athletics,99,63
1989,Kansas City Royals,92,70
1989,California Angels,91,71
1989,Texas Rangers,83,79
1989,Minnesota Twins,80,82
1989,Seattle Mariners,73,89
1989,Chicago White Sox,69,92
1989,Chicago Cubs,93,69
1989,New York Mets,87,75
1989,St. Louis Cardinals,86,76
1989,Montreal Expos,81,81
1989,Pittsburgh Pirates,74,88
1989,Philadelphia Phillies,67,95
1989,San Francisco Giants,92,70
1989,San Diego Padres,89,73
1989,Houston Astros,86,76
1989,Los Angeles Dodgers,77,83
1989,Cincinnati Reds,75,87
1989,Atlanta Braves,63,97
1990,Boston Red Sox,88,74
1990,Toronto Blue Jays,86,76
1990,Detroit Tigers,79,83
1990,Cleveland Indians,77,85
1990,Baltimore Orioles,76,85
1990,Milwaukee Brewers,74,88
1990,New York Yankees,67,95
1990,Oakland Athletics,103,59
1990,Chicago White Sox,94,68
1990,Texas Rangers,83,79
1990,California Angels,80,82
1990,Seattle Mariners,77,85
1990,Kansas City Royals,75,86
1990,Minnesota Twins,74,88
1990,Pittsburgh Pirates,95,67
1990,New York Mets,91,71
1990,Montreal Expos,85,77
1990,Chicago Cubs,77,85
1990,Philadelphia Phillies,77,85
1990,St. Louis Cardinals,70,92
1990,Cincinnati Reds,91,71
1990,Los Angeles Dodgers,86,76
1990,San Francisco Giants,85,77
1990,Houston Astros,75,87
1990,San Diego Padres,75,87
1990,Atlanta Braves,65,97
1991,Toronto Blue Jays,91,71
1991,Boston Red Sox,84,78
1991,Detroit Tigers,84,78
1991,Milwaukee Brewers,83,79
