title,date,bids,price
1956 Topps Set Break # 10 - Warren Spahn VG-VGEX (white back) *GMCARDS*,2020-11-29,14,21
1956 Topps Set Break # 10 - Warren Spahn VG-VGEX *GMCARDS*,2020-11-22,10,34.77
1956 Topps Set Break # 10 - Warren Spahn VG-VGEX (wrinkle) *GMCARDS*,2020-11-20,14,23.5
1956 Topps Set Break # 10 - Warren Spahn LOW GRADE (crease) *GMCARDS*,2020-11-20,6,16.6
1956 Topps Set Break # 10 - Warren Spahn VG-VGEX *GMCARDS*,2020-11-19,9,32.11
1956 Topps Set Break # 10 - Warren Spahn LOW GRADE (filler) *GMCARDS*,2020-11-06,9,10.5
1956 Topps Set Break # 10 - Warren Spahn VG-VGEX (white back) *GMCARDS*,2020-11-05,16,27.69
1956 Topps Set Break # 10 - Warren Spahn EX-EXMINT *GMCARDS*,2020-11-01,19,122.5
1956 Topps Set Break # 10 - Warren Spahn NR-MINT *GMCARDS*,2020-10-25,20,117.5
1956 Topps Set Break # 10 - Warren Spahn VG-VGEX (wrinkle) *GMCARDS*,2020-10-09,13,31.55
1956 Topps Set Break # 15 Ernie Banks VG-VGEX *GMCARDS*,2020-01-04,34,117.5
1956 Topps Set Break # 15 Ernie Banks LOW GRADE (filler) *GMCARDS*,2020-01-02,18,51.88
1956 Topps Set Break #15 Ernie Banks LOW GRADE (filler) *GMCARDS*,2020-12-25,11,37.59
1956 Topps Set Break #15 Ernie Banks VG-VGEX (white back) *GMCARDS*,2020-12-20,12,46
1956 Topps Set Break #15 Ernie Banks VG-VGEX (wrinkle) (white back) *GMCARDS*,2020-12-18,26,75
1956 Topps # 15 - Ernie Banks LOW GRADE (filler) (white back) *GMCARDS*,2020-12-18,6,15.51
1956 Topps Set Break #15 Ernie Banks NR-MINT (white back) *GMCARDS*,2020-12-16,33,213.5
1956 Topps Set Break # 15 - Ernie Banks VG-VGEX *GMCARDS*,2020-12-13,13,90
1956 Topps Set Break # 15 - Ernie Banks VG-VGEX *GMCARDS*,2020-12-08,20,45.85
1956 Topps Set Break # 15 - Ernie Banks EX-EXMINT (white back) *GMCARDS*,2020-11-22,27,110.5
1956 Topps # 15 - Ernie Banks LOW GRADE (crease) (white back) *GMCARDS*,2020-11-20,10,27.02
1956 Topps Set Break # 15 - Ernie Banks VG-VGEX *GMCARDS*,2020-11-19,17,72.5
1956 Topps # 15 - Ernie Banks LOW GRADE (crease) (white back) *GMCARDS*,2020-11-13,19,19.75
1956 Topps Set Break # 15 - Ernie Banks LOW GRADE (crease) *GMCARDS*,2020-11-06,16,16
1956 Topps Set Break # 15 - Ernie Banks VG-VGEX (white back) *GMCARDS*,2020-11-01,20,81
1956 Topps Set Break # 20 Al Kaline NR-MINT (white back) *GMCARDS*,2020-01-04,29,338.55
1956 Topps Set Break # 20 Al Kaline VG-VGEX (crease) *GMCARDS*,2020-01-02,19,37
1956 Topps Set Break #20 Al Kaline VG-VGEX (wrinkle) (white back) *GMCARDS*,2020-12-25,15,51.01
1956 Topps Set Break # 20 - Al Kaline VG-VGEX (white back) *GMCARDS*,2020-12-23,15,104.5
