year,number,name,team,card_url
1963,355,Dean Chance,Los Angeles Angels,/ViewCard.cfm/sid/60/cid/10669/1963-Topps-355-Dean-Chance
1963,398,Boog Powell,Baltimore Orioles,/ViewCard.cfm/sid/60/cid/10712/1963-Topps-398-Boog-Powell
1963,427,Bernie Allen,Minnesota Twins,/ViewCard.cfm/sid/60/cid/10741/1963-Topps-427-Bernie-Allen
1963,470,Tom Tresh,New York Yankees,/ViewCard.cfm/sid/60/cid/10786/1963-Topps-470-Tom-Tresh
1964,73,Jimmie Hall,Minnesota Twins,/ViewCard.cfm/sid/61/cid/10967/1964-Topps-73-Jimmie-Hall
1964,85,Pete Ward,Chicago White Sox,/ViewCard.cfm/sid/61/cid/10979/1964-Topps-85-Pete-Ward
1964,109,Rusty Staub,Houston Colt .45s,/ViewCard.cfm/sid/61/cid/11003/1964-Topps-109-Rusty-Staub
1964,125,Pete Rose,Cincinnati Reds,/ViewCard.cfm/sid/61/cid/11019/1964-Topps-125-Pete-Rose
1964,130,Gary Peters,Chicago White Sox,/ViewCard.cfm/sid/61/cid/11024/1964-Topps-130-Gary-Peters
1964,168,Al Weis,Chicago White Sox,/ViewCard.cfm/sid/61/cid/11062/1964-Topps-168-Al-Weis
1964,330,Tommy Harper,Cincinnati Reds,/ViewCard.cfm/sid/61/cid/11224/1964-Topps-330-Tommy-Harper
1964,412,Ray Culp,Philadelphia Phillies,/ViewCard.cfm/sid/61/cid/11306/1964-Topps-412-Ray-Culp
1964,435,Vic Davalillo,Cleveland Indians,/ViewCard.cfm/sid/61/cid/11329/1964-Topps-435-Vic-Davalillo
1965,18,Bill McCool,Cincinnati Reds,/ViewCard.cfm/sid/64/cid/11500/1965-Topps-18-Bill-McCool
1965,55,Tony Conigliaro,Boston Red Sox,/ViewCard.cfm/sid/64/cid/11537/1965-Topps-55-Tony-Conigliaro
1965,118,Hal Lanier,San Francisco Giants,/ViewCard.cfm/sid/64/cid/11601/1965-Topps-118-Hal-Lanier
1965,224,Bob Chance,Washington Senators,/ViewCard.cfm/sid/64/cid/11707/1965-Topps-224-Bob-Chance
1965,266,Bert Campaneris,Kansas City Athletics,/ViewCard.cfm/sid/64/cid/11749/1965-Topps-266-Bert-Campaneris
1965,290,Wally Bunker,Baltimore Orioles,/ViewCard.cfm/sid/64/cid/11773/1965-Topps-290-Wally-Bunker
1965,305,Rico Carty,Milwaukee Braves,/ViewCard.cfm/sid/64/cid/11788/1965-Topps-305-Rico-Carty
1965,340,Tony Oliva,Minnesota Twins,/ViewCard.cfm/sid/64/cid/11823/1965-Topps-340-Tony-Oliva
1965,460,Richie Allen,Philadelphia Phillies,/ViewCard.cfm/sid/64/cid/11943/1965-Topps-460-Richie-Allen
1966,35,Ron Swoboda,New York Mets,/ViewCard.cfm/sid/65/cid/28935/1966-Topps-35-Ron-Swoboda
1966,72,Tony Perez,Cincinnati Reds,/ViewCard.cfm/sid/65/cid/28975/1966-Topps-72-Tony-Perez
1966,78,Frank Linzy,San Francisco Giants,/ViewCard.cfm/sid/65/cid/28981/1966-Topps-78-Frank-Linzy
